City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Oriximina,BR,-1.7656,-55.8661,79.54,76,100,3.83,overcast clouds
274,Jatiroto,ID,-7.8833,111.1167,78.13,84,70,2.53,broken clouds
275,College,US,64.8569,-147.8028,68.67,37,75,0.0,broken clouds
276,Qaqortoq,GL,60.7167,-46.0333,46.9,74,0,6.13,clear sky
277,Mount Isa,AU,-20.7333,139.5,74.97,41,5,17.27,clear sky
278,Atascadero,US,35.4894,-120.6707,80.89,34,2,7.47,clear sky
279,Bongouanou,CI,6.6486,-4.1992,72.9,99,100,1.7,overcast clouds
280,Udalguri,IN,26.7667,92.1333,78.06,85,100,3.13,overcast clouds
281,Sheridan,US,44.8333,-106.9173,71.98,30,20,3.44,few clouds
282,Mont-Dore,NC,-22.2833,166.5833,73.99,99,70,9.82,broken clouds
283,Clemson,US,34.6834,-82.8374,70.48,67,75,3.44,broken clouds
284,Natal,BR,-5.795,-35.2094,78.8,83,0,6.91,clear sky
285,Sola,VU,-13.8833,167.55,77.67,89,90,6.91,overcast clouds
286,Innisfail,AU,-17.5333,146.0333,72.09,86,91,10.51,overcast clouds
287,Huilong,CN,31.8111,121.655,78.04,58,95,12.77,overcast clouds
288,Lubango,AO,-14.9172,13.4925,56.71,40,18,3.33,few clouds
289,Pallasovka,RU,50.05,46.8833,62.28,93,77,5.88,broken clouds
290,Taksimo,RU,56.3444,114.8794,43.83,64,100,3.71,overcast clouds
291,Maunabo,PR,18.0072,-65.8993,82.22,82,0,11.52,clear sky
292,Pemex,MX,18.4395,-96.3461,81.3,71,39,7.38,scattered clouds
293,Tak,TH,16.5833,98.8333,74.91,89,99,2.91,overcast clouds
294,Korcula,HR,42.9622,17.1369,57.76,60,13,9.55,few clouds
295,Swellendam,ZA,-34.0226,20.4417,46.78,78,100,2.89,overcast clouds
296,Lima,PE,-12.0432,-77.0282,63.14,82,90,10.36,overcast clouds
297,Torbay,CA,47.6666,-52.7314,52.57,78,75,6.91,broken clouds
298,Victoria,HK,22.2855,114.1577,87.85,87,100,1.99,overcast clouds
299,Hami,CN,42.8,93.45,71.89,10,0,11.07,clear sky
300,Dunedin,NZ,-45.8742,170.5036,49.8,88,100,10.0,overcast clouds
301,Bulgan,MN,48.8125,103.5347,34.88,91,100,4.5,light rain
302,Piddig,PH,18.1655,120.7175,87.35,70,75,4.79,broken clouds
303,Tuatapere,NZ,-46.1333,167.6833,49.82,94,100,6.64,overcast clouds
304,Nha Trang,VN,12.25,109.1833,86.0,58,2,2.53,clear sky
305,Umm Kaddadah,SD,13.6017,26.6876,85.66,23,5,4.54,clear sky
306,Ugra,RU,54.7777,34.3267,38.7,77,100,4.83,overcast clouds
307,Vao,NC,-22.6667,167.4833,69.85,55,100,14.92,overcast clouds
308,Kodinsk,RU,58.6881,99.1844,43.63,81,90,1.43,overcast clouds
309,Turmalina,BR,-17.2856,-42.73,64.35,70,29,2.13,scattered clouds
310,Mezen,RU,65.8522,44.24,38.12,71,93,7.29,overcast clouds
311,Severo-Kurilsk,RU,50.6789,156.125,39.22,97,100,22.68,light rain
312,Bonfim,BR,3.0833,-59.95,75.2,90,100,2.8,overcast clouds
313,Sampit,ID,-2.5333,112.95,83.05,74,100,1.45,overcast clouds
314,Bakaly,RU,55.1789,53.8028,44.55,85,47,10.16,scattered clouds
315,Batemans Bay,AU,-35.7167,150.1833,60.19,52,0,2.15,clear sky
316,Izhma,RU,65.0083,53.9113,35.37,75,28,5.61,scattered clouds
317,Maragogi,BR,-9.0122,-35.2225,75.27,86,59,2.04,broken clouds
318,Dzaoudzi,YT,-12.7887,45.2699,75.09,88,0,5.75,clear sky
319,Portland,US,45.5234,-122.6762,85.6,32,40,1.01,scattered clouds
320,Soure,BR,-0.7167,-48.5233,78.78,84,17,9.53,few clouds
321,Griffith,US,41.5284,-87.4237,65.01,45,1,1.99,clear sky
322,Puerto El Triunfo,SV,13.2833,-88.55,90.46,75,53,7.07,broken clouds
323,Nelson Bay,AU,-32.7167,152.15,62.76,70,99,1.99,overcast clouds
324,Nakambala,ZM,-15.8324,27.7799,54.19,46,0,3.91,clear sky
325,Sadon,RU,42.8518,44.0037,42.35,84,2,2.57,clear sky
326,Cayenne,GF,4.9333,-52.3333,80.1,85,75,4.0,broken clouds
327,Dinhata,IN,26.1333,89.4667,80.15,87,56,6.62,broken clouds
328,San Quintin,MX,30.4833,-115.95,62.15,69,0,11.01,clear sky
329,Businga,CD,3.3333,20.8833,72.14,92,98,1.72,light rain
330,Hamilton,US,39.1834,-84.5333,62.04,72,1,2.33,clear sky
331,Lubumbashi,CD,-11.6609,27.4794,49.6,60,0,2.91,clear sky
332,Poronaysk,RU,49.2167,143.1167,49.33,58,19,12.53,few clouds
333,Marawi,PH,7.9986,124.2928,73.38,86,100,1.5,overcast clouds
334,Taoudenni,ML,22.6783,-3.9836,101.39,11,100,9.28,overcast clouds
335,Taft,IR,31.7471,54.2088,75.15,15,0,3.51,clear sky
336,Sahbuz,AZ,39.4072,45.5739,55.0,50,0,3.8,clear sky
337,Muisne,EC,0.6,-80.0333,76.68,85,100,7.81,overcast clouds
338,Gwadar,PK,25.1216,62.3254,83.43,88,5,11.88,clear sky
339,Sonoita,MX,31.85,-112.8333,92.53,17,1,14.76,clear sky
340,Fortuna,US,40.5982,-124.1573,65.93,64,100,3.0,overcast clouds
341,Hinche,HT,19.15,-72.0167,78.22,87,56,1.5,broken clouds
342,Arman,RU,59.7,150.1667,37.13,98,100,5.46,light rain
343,Haapiti,PF,-17.5667,-149.8667,82.13,69,41,16.2,scattered clouds
344,Kruisfontein,ZA,-34.0033,24.7314,49.66,80,58,5.82,broken clouds
345,Takanosu,JP,40.2219,140.3694,59.76,72,75,5.75,broken clouds
346,Mokrous,RU,51.2333,47.5167,60.96,96,42,6.29,scattered clouds
347,Xilagani,GR,40.9833,25.4167,63.9,75,100,4.79,overcast clouds
