City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Clyde River,CA,2021-05-26 23:56:15,70.4692,-68.5914,26.83,93,20,14.97
179,Petropavlovsk-Kamchatskiy,RU,2021-05-26 23:56:15,53.0452,158.6483,39.79,100,90,3.24
180,Butaritari,KI,2021-05-26 23:56:15,3.0707,172.7902,83.59,78,89,19.55
181,Arraial Do Cabo,BR,2021-05-26 23:56:16,-22.9661,-42.0278,73.26,78,75,2.3
182,Maliq,AL,2021-05-26 23:56:16,40.7058,20.6997,56.25,85,45,2.21
183,Esperance,AU,2021-05-26 23:56:16,-33.8667,121.9,51.64,64,100,16.11
184,Falam,MM,2021-05-26 23:56:16,22.9167,93.6833,63.32,91,13,0.22
185,Khasan,RU,2021-05-26 23:56:17,42.4308,130.6434,50.77,92,100,5.66
186,Castro,BR,2021-05-26 23:56:17,-24.7911,-50.0119,58.12,61,91,0.31
187,College,US,2021-05-26 23:56:17,64.8569,-147.8028,67.66,32,90,0.0
188,Torbay,CA,2021-05-26 23:52:55,47.6666,-52.7314,49.75,93,90,11.5
189,Chapais,CA,2021-05-26 23:56:18,49.7834,-74.8492,42.58,70,96,16.4
190,Maceio,BR,2021-05-26 23:53:20,-9.6658,-35.7353,74.64,88,40,10.78
191,Nioro,GM,2021-05-26 23:56:18,13.35,-15.75,80.69,53,87,8.19
192,Bathsheba,BB,2021-05-26 23:51:24,13.2167,-59.5167,81.21,69,40,16.58
193,Klaksvik,FO,2021-05-26 23:56:19,62.2266,-6.589,40.12,76,99,15.52
194,Kahului,US,2021-05-26 23:51:58,20.8947,-156.47,87.82,60,40,18.41
195,Beyneu,KZ,2021-05-26 23:56:19,45.3167,55.2,80.11,31,52,11.83
196,Nelson Bay,AU,2021-05-26 23:56:19,-32.7167,152.15,60.3,63,2,1.99
197,Gotemba,JP,2021-05-26 23:56:20,35.3,138.9333,58.82,97,100,2.17
198,Iberia,US,2021-05-26 23:56:20,29.9502,-91.7507,84.18,79,21,6.64
199,Hofn,IS,2021-05-26 23:56:20,64.2539,-15.2082,43.05,81,86,4.14
200,Mar Del Plata,AR,2021-05-26 23:56:21,-38.0023,-57.5575,57.13,61,0,7.0
201,Kampot,KH,2021-05-26 23:56:21,10.6167,104.1833,82.45,85,94,6.35
202,Panguna,PG,2021-05-26 23:56:21,-6.3164,155.4848,75.45,88,98,2.91
203,Imeni Poliny Osipenko,RU,2021-05-26 23:56:22,52.4201,136.4853,44.89,80,100,6.93
204,San Juan,AR,2021-05-26 23:55:15,-31.5375,-68.5364,70.74,29,0,5.21
205,Gaziantep,TR,2021-05-26 23:56:02,37.0594,37.3825,66.13,42,0,6.53
206,Krasnoborsk,RU,2021-05-26 23:56:22,61.5598,45.934,38.53,67,98,3.09
207,Sturgeon Bay,US,2021-05-26 23:55:18,44.8342,-87.377,64.09,62,1,12.66
208,Ishigaki,JP,2021-05-26 23:56:22,24.3448,124.1572,86.13,84,75,18.41
209,Bati,ET,2021-05-26 23:56:23,11.1833,40.0167,71.65,27,2,6.64
210,Dawei,MM,2021-05-26 23:56:23,14.0833,98.2,78.1,92,100,2.08
211,Nisko,PL,2021-05-26 23:56:23,50.5199,22.1397,52.32,71,36,5.01
212,Bilma,NE,2021-05-26 23:56:24,18.6853,12.9164,84.47,7,2,2.86
213,Road Town,VG,2021-05-26 23:52:26,18.4167,-64.6167,82.49,74,20,9.22
214,Asfi,MA,2021-05-26 23:56:24,32.2994,-9.2372,64.17,94,2,4.16
215,Alto Araguaia,BR,2021-05-26 23:56:24,-17.3147,-53.2153,71.89,64,1,0.31
216,Ahipara,NZ,2021-05-26 23:56:25,-35.1667,173.1667,60.1,55,15,4.72
217,Ribeira Grande,PT,2021-05-26 23:51:25,38.5167,-28.7,59.94,67,82,14.79
218,Yoichi,JP,2021-05-26 23:56:25,43.2039,140.7703,59.22,60,89,4.79
219,Port Elizabeth,ZA,2021-05-26 23:56:25,-33.918,25.5701,52.09,93,0,3.44
220,Manado,ID,2021-05-26 23:56:26,1.487,124.8455,81.37,78,20,2.3
221,Saint-Pierre,RE,2021-05-26 23:56:26,-21.3393,55.4781,69.48,83,0,8.05
222,Kisangani,CD,2021-05-26 23:56:26,0.5167,25.2,74.41,82,99,2.68
223,Talnakh,RU,2021-05-26 23:56:27,69.4865,88.3972,20.98,94,53,3.11
224,Marsh Harbour,BS,2021-05-26 23:56:27,26.5412,-77.0636,76.59,74,35,9.08
225,Sao Luis De Montes Belos,BR,2021-05-26 23:56:27,-16.525,-50.3722,73.78,54,23,2.57
226,Angostura,MX,2021-05-26 23:56:27,25.3667,-108.1833,99.0,29,100,14.29
227,Montepuez,MZ,2021-05-26 23:56:28,-13.1256,38.9997,59.54,83,9,4.43
228,Vung Tau,VN,2021-05-26 23:56:28,10.346,107.0843,79.84,84,100,4.41
229,Port-Cartier,CA,2021-05-26 23:56:28,50.0334,-66.8654,44.92,99,100,3.18
230,Ust-Ilimsk,RU,2021-05-26 23:56:29,58.0006,102.6619,36.95,62,36,9.06
231,Watsa,CD,2021-05-26 23:56:29,3.0372,29.5355,63.28,98,92,1.99
232,Oranjemund,NA,2021-05-26 23:53:29,-28.55,16.4333,57.33,80,73,2.84
233,Popondetta,PG,2021-05-26 23:56:29,-8.7537,148.2534,83.61,61,55,4.65
